method,seed,condition_id,geometry_variable,geometry_value,sample_count,error_count,error_rate,harmful_flip_count,harmful_flip_rate
mobilenet_v3_small,17,brightness_mild,occupancy_bin,ge_0.50,2,0,0,0,0
mobilenet_v3_small,17,brightness_moderate,occupancy_bin,0.25_to_lt_0.50,73,10,0.136986301369863,4,0.0547945205479452
mobilenet_v3_small,17,brightness_moderate,occupancy_bin,lt_0.10,24,3,0.125,1,0.041666666666666664
mobilenet_v3_small,17,brightness_moderate,occupancy_bin,0.10_to_lt_0.25,63,11,0.1746031746031746,4,0.06349206349206349
mobilenet_v3_small,17,brightness_moderate,occupancy_bin,ge_0.50,2,0,0,0,0
mobilenet_v3_small,17,brightness_severe,occupancy_bin,0.25_to_lt_0.50,73,26,0.3561643835616438,22,0.3013698630136986
mobilenet_v3_small,17,brightness_severe,occupancy_bin,lt_0.10,24,2,0.08333333333333333,0,0
mobilenet_v3_small,17,brightness_severe,occupancy_bin,0.10_to_lt_0.25,63,18,0.2857142857142857,11,0.1746031746031746
mobilenet_v3_small,17,brightness_severe,occupancy_bin,ge_0.50,2,0,0,0,0
mobilenet_v3_small,17,jpeg_mild,occupancy_bin,0.25_to_lt_0.50,73,8,0.1095890410958904,1,0.0136986301369863
mobilenet_v3_small,17,jpeg_mild,occupancy_bin,lt_0.10,24,5,0.20833333333333334,3,0.125
mobilenet_v3_small,17,jpeg_mild,occupancy_bin,0.10_to_lt_0.25,63,10,0.15873015873015872,1,0.015873015873015872
mobilenet_v3_small,17,jpeg_mild,occupancy_bin,ge_0.50,2,0,0,0,0
mobilenet_v3_small,17,jpeg_moderate,occupancy_bin,0.25_to_lt_0.50,73,6,0.0821917808219178,0,0
mobilenet_v3_small,17,jpeg_moderate,occupancy_bin,lt_0.10,24,5,0.20833333333333334,3,0.125
mobilenet_v3_small,17,jpeg_moderate,occupancy_bin,0.10_to_lt_0.25,63,13,0.20634920634920634,5,0.07936507936507936
mobilenet_v3_small,17,jpeg_moderate,occupancy_bin,ge_0.50,2,0,0,0,0
mobilenet_v3_small,17,jpeg_severe,occupancy_bin,0.25_to_lt_0.50,73,10,0.136986301369863,6,0.0821917808219178
mobilenet_v3_small,17,jpeg_severe,occupancy_bin,lt_0.10,24,3,0.125,1,0.041666666666666664
mobilenet_v3_small,17,jpeg_severe,occupancy_bin,0.10_to_lt_0.25,63,16,0.25396825396825395,8,0.12698412698412698
mobilenet_v3_small,17,jpeg_severe,occupancy_bin,ge_0.50,2,0,0,0,0
mobilenet_v3_small,29,clean,occupancy_bin,0.25_to_lt_0.50,73,5,0.0684931506849315,0,not_applicable
mobilenet_v3_small,29,clean,occupancy_bin,lt_0.10,24,4,0.16666666666666666,0,not_applicable
mobilenet_v3_small,29,clean,occupancy_bin,0.10_to_lt_0.25,63,11,0.1746031746031746,0,not_applicable
mobilenet_v3_small,29,clean,occupancy_bin,ge_0.50,2,0,0,0,not_applicable
mobilenet_v3_small,29,gaussian_blur_mild,occupancy_bin,0.25_to_lt_0.50,73,8,0.1095890410958904,3,0.0410958904109589
mobilenet_v3_small,29,gaussian_blur_mild,occupancy_bin,lt_0.10,24,6,0.25,2,0.08333333333333333
mobilenet_v3_small,29,gaussian_blur_mild,occupancy_bin,0.10_to_lt_0.25,63,11,0.1746031746031746,1,0.015873015873015872
mobilenet_v3_small,29,gaussian_blur_mild,occupancy_bin,ge_0.50,2,1,0.5,1,0.5
mobilenet_v3_small,29,gaussian_blur_moderate,occupancy_bin,0.25_to_lt_0.50,73,10,0.136986301369863,6,0.0821917808219178
mobilenet_v3_small,29,gaussian_blur_moderate,occupancy_bin,lt_0.10,24,6,0.25,3,0.125
mobilenet_v3_small,29,gaussian_blur_moderate,occupancy_bin,0.10_to_lt_0.25,63,12,0.19047619047619047,4,0.06349206349206349
mobilenet_v3_small,29,gaussian_blur_moderate,occupancy_bin,ge_0.50,2,1,0.5,1,0.5
mobilenet_v3_small,29,gaussian_blur_severe,occupancy_bin,0.25_to_lt_0.50,73,21,0.2876712328767123,17,0.2328767123287671
mobilenet_v3_small,29,gaussian_blur_severe,occupancy_bin,lt_0.10,24,8,0.3333333333333333,5,0.20833333333333334
mobilenet_v3_small,29,gaussian_blur_severe,occupancy_bin,0.10_to_lt_0.25,63,17,0.2698412698412698,9,0.14285714285714285
mobilenet_v3_small,29,gaussian_blur_severe,occupancy_bin,ge_0.50,2,2,1,2,1
mobilenet_v3_small,29,resolution_mild,occupancy_bin,0.25_to_lt_0.50,73,8,0.1095890410958904,3,0.0410958904109589
mobilenet_v3_small,29,resolution_mild,occupancy_bin,lt_0.10,24,6,0.25,2,0.08333333333333333
mobilenet_v3_small,29,resolution_mild,occupancy_bin,0.10_to_lt_0.25,63,11,0.1746031746031746,2,0.031746031746031744
mobilenet_v3_small,29,resolution_mild,occupancy_bin,ge_0.50,2,1,0.5,1,0.5
mobilenet_v3_small,29,resolution_moderate,occupancy_bin,0.25_to_lt_0.50,73,9,0.1232876712328767,5,0.0684931506849315
mobilenet_v3_small,29,resolution_moderate,occupancy_bin,lt_0.10,24,4,0.16666666666666666,2,0.08333333333333333
mobilenet_v3_small,29,resolution_moderate,occupancy_bin,0.10_to_lt_0.25,63,13,0.20634920634920634,3,0.047619047619047616
mobilenet_v3_small,29,resolution_moderate,occupancy_bin,ge_0.50,2,1,0.5,1,0.5
mobilenet_v3_small,29,resolution_severe,occupancy_bin,0.25_to_lt_0.50,73,18,0.2465753424657534,14,0.1917808219178082
mobilenet_v3_small,29,resolution_severe,occupancy_bin,lt_0.10,24,5,0.20833333333333334,3,0.125
mobilenet_v3_small,29,resolution_severe,occupancy_bin,0.10_to_lt_0.25,63,16,0.25396825396825395,8,0.12698412698412698
mobilenet_v3_small,29,resolution_severe,occupancy_bin,ge_0.50,2,1,0.5,1,0.5
mobilenet_v3_small,29,brightness_mild,occupancy_bin,0.25_to_lt_0.50,73,6,0.0821917808219178,1,0.0136986301369863
mobilenet_v3_small,29,brightness_mild,occupancy_bin,lt_0.10,24,2,0.08333333333333333,0,0
mobilenet_v3_small,29,brightness_mild,occupancy_bin,0.10_to_lt_0.25,63,11,0.1746031746031746,2,0.031746031746031744
mobilenet_v3_small,29,brightness_mild,occupancy_bin,ge_0.50,2,0,0,0,0
mobilenet_v3_small,29,brightness_moderate,occupancy_bin,0.25_to_lt_0.50,73,10,0.136986301369863,6,0.0821917808219178
mobilenet_v3_small,29,brightness_moderate,occupancy_bin,lt_0.10,24,3,0.125,1,0.041666666666666664
mobilenet_v3_small,29,brightness_moderate,occupancy_bin,0.10_to_lt_0.25,63,12,0.19047619047619047,4,0.06349206349206349
mobilenet_v3_small,29,brightness_moderate,occupancy_bin,ge_0.50,2,1,0.5,1,0.5
mobilenet_v3_small,29,brightness_severe,occupancy_bin,0.25_to_lt_0.50,73,22,0.3013698630136986,21,0.2876712328767123
mobilenet_v3_small,29,brightness_severe,occupancy_bin,lt_0.10,24,4,0.16666666666666666,3,0.125
mobilenet_v3_small,29,brightness_severe,occupancy_bin,0.10_to_lt_0.25,63,20,0.31746031746031744,15,0.23809523809523808
mobilenet_v3_small,29,brightness_severe,occupancy_bin,ge_0.50,2,1,0.5,1,0.5
mobilenet_v3_small,29,jpeg_mild,occupancy_bin,0.25_to_lt_0.50,73,5,0.0684931506849315,0,0
mobilenet_v3_small,29,jpeg_mild,occupancy_bin,lt_0.10,24,5,0.20833333333333334,1,0.041666666666666664
mobilenet_v3_small,29,jpeg_mild,occupancy_bin,0.10_to_lt_0.25,63,12,0.19047619047619047,4,0.06349206349206349
mobilenet_v3_small,29,jpeg_mild,occupancy_bin,ge_0.50,2,1,0.5,1,0.5
mobilenet_v3_small,29,jpeg_moderate,occupancy_bin,0.25_to_lt_0.50,73,5,0.0684931506849315,1,0.0136986301369863
mobilenet_v3_small,29,jpeg_moderate,occupancy_bin,lt_0.10,24,8,0.3333333333333333,4,0.16666666666666666
mobilenet_v3_small,29,jpeg_moderate,occupancy_bin,0.10_to_lt_0.25,63,14,0.2222222222222222,6,0.09523809523809523
mobilenet_v3_small,29,jpeg_moderate,occupancy_bin,ge_0.50,2,1,0.5,1,0.5
mobilenet_v3_small,29,jpeg_severe,occupancy_bin,0.25_to_lt_0.50,73,11,0.1506849315068493,6,0.0821917808219178
mobilenet_v3_small,29,jpeg_severe,occupancy_bin,lt_0.10,24,8,0.3333333333333333,5,0.20833333333333334
mobilenet_v3_small,29,jpeg_severe,occupancy_bin,0.10_to_lt_0.25,63,17,0.2698412698412698,8,0.12698412698412698
