true_label,craze,corrosion,surface_injure,thunderstrike,crack,hide_craze
craze,0.7037037037037037,0.0,0.14814814814814814,0.0,0.0,0.14814814814814814
corrosion,0.03333333333333333,0.6,0.03333333333333333,0.06666666666666667,0.0,0.26666666666666666
surface_injure,0.030303030303030304,0.030303030303030304,0.8484848484848485,0.0,0.0,0.09090909090909091
thunderstrike,0.0,0.0,0.2222222222222222,0.7777777777777778,0.0,0.0
crack,0.0,0.0,0.0,0.0,0.8571428571428571,0.14285714285714285
hide_craze,0.0,0.0,0.04081632653061224,0.0,0.0,0.9591836734693877
