epoch,train_loss,train_accuracy,train_macro_f1,validation_loss,validation_accuracy,validation_balanced_accuracy,validation_macro_precision,validation_macro_recall,validation_macro_f1,learning_rate,elapsed_seconds,is_best_epoch
1,1.6953969315478676,0.2680921052631579,0.26104985964551114,1.4852255190888497,0.5342465753424658,0.5004498425551057,0.5504237429237429,0.5004498425551057,0.4806462243936078,0.0001,27.833862800034694,False
2,1.2514058288774992,0.6200657894736842,0.6185820224809278,1.2101743025322482,0.6712328767123288,0.6311068423482612,0.6788218651121877,0.6311068423482612,0.6235209235209235,0.0001,27.248496299958788,False
3,0.911215038676011,0.7532894736842105,0.7597834896070695,0.9893891484770057,0.6986301369863014,0.7014813096048794,0.7127671833275282,0.7014813096048794,0.6683859704510519,0.0001,27.283954700105824,False
4,0.6671197759477716,0.8322368421052632,0.8304730453234873,0.8185204986023576,0.7123287671232876,0.7099238586652774,0.720527739923983,0.7099238586652774,0.6874022297350965,0.0001,27.30003719998058,False
5,0.4899238238209172,0.8634868421052632,0.871812887612435,0.735644132307131,0.7397260273972602,0.727203680292925,0.7745482225164708,0.727203680292925,0.7226246257001024,0.0001,27.2250099000521,False
6,0.34391074980560105,0.9078947368421053,0.9176517683096632,0.6833651686367923,0.7671232876712328,0.7524193113437964,0.8019179894179894,0.7524193113437964,0.7491875034111696,0.0001,27.108674600021914,False
7,0.2509689934943852,0.9457236842105263,0.9495904351012028,0.6413074911457218,0.7808219178082192,0.7534462740412398,0.8049662180096963,0.7534462740412398,0.7600987293047375,0.0001,27.121805700007826,False
8,0.19497231041130267,0.9424342105263158,0.9485466889612879,0.6087844698396447,0.8082191780821918,0.7907394961170705,0.8222547022547024,0.7907394961170705,0.7913267079881598,0.0001,27.21066109999083,False
9,0.1533287779281014,0.96875,0.9738359718898986,0.5661561080854233,0.8356164383561644,0.8143335603289836,0.8450017868310552,0.8143335603289836,0.8179321282712942,0.0001,27.378485699999146,False
10,0.12118470159016158,0.9720394736842105,0.9749245719687457,0.5030233688550453,0.8424657534246576,0.8231054901535452,0.8579822954822954,0.8231054901535452,0.8276149911794888,0.0001,27.794917699997313,False
11,0.0812640307765258,0.9851973684210527,0.9870139249208353,0.4714729802249229,0.8493150684931506,0.8358299891480669,0.8597105508870215,0.8358299891480669,0.8381862745098038,0.0001,27.4779515999835,False
12,0.0722781179570838,0.9819078947368421,0.9849747834299328,0.4861479164802865,0.8424657534246576,0.8231054901535452,0.8568327188425228,0.8231054901535452,0.8271080397650432,0.0001,27.596221899962984,False
13,0.05395246061839556,0.993421052631579,0.9947640356886099,0.4807060430311177,0.8561643835616438,0.8394531775538642,0.8684648684648685,0.8394531775538642,0.8422843968095712,0.0001,28.47922069998458,False
14,0.04505171999335289,0.9950657894736842,0.9964264709923873,0.4774725604547213,0.863013698630137,0.8470289351296216,0.8818590413418,0.8470289351296216,0.8499022019961618,0.0001,27.38247979991138,False
15,0.045678330389292615,0.9950657894736842,0.9943274370741902,0.4839150215664955,0.8698630136986302,0.8506521235354189,0.8856141375437884,0.8506521235354189,0.8549753873604161,0.0001,27.24937089998275,True
16,0.03147332571250828,0.9967105263157895,0.9957854119990043,0.4725637497150735,0.8493150684931506,0.8318774199781065,0.8563179955128551,0.8318774199781065,0.8359723096740207,0.0001,27.135008899960667,False
17,0.032465882207217966,0.9967105263157895,0.9957854119990043,0.437765703217624,0.8561643835616438,0.8378622817982085,0.8620441712395736,0.8378622817982085,0.8436411837462258,0.0001,27.36605640000198,False
18,0.03569416402790107,0.993421052631579,0.9927227726261968,0.4297690469108216,0.8424657534246576,0.8145244026250893,0.8245763921051276,0.8145244026250893,0.8122687711448214,0.0001,26.937248000060208,False
19,0.0200018536446518,0.9983552631578947,0.998617102747613,0.44319420807982146,0.8698630136986302,0.8290171562482774,0.8793955222788679,0.8290171562482774,0.8432227511898125,0.0001,27.371830599964596,False
20,0.014182682896621134,1.0,1.0,0.4303858308759454,0.8561643835616438,0.821345384846529,0.8632850241545893,0.821345384846529,0.8339364936276992,0.0001,27.120857000001706,False
21,0.019374087869532798,0.9983552631578947,0.9980045510239804,0.4392528623750765,0.8493150684931506,0.8177221964407319,0.8554368471035138,0.8177221964407319,0.82847200418629,0.0001,27.73645209998358,False
