metric,count,minimum,p05,p25,median,p75,p95,maximum
bbox_width_pixels,1065,20.0,43.400000000000006,117.0,220.0,376.0,754.0,1013.0
bbox_height_pixels,1065,23.0,50.0,126.0,249.0,431.0,878.7999999999995,1023.0
bbox_area_pixels,1065,800.0,4890.6,20400.0,55550.0,121660.0,320977.99999999994,678219.0
bbox_area_fraction,1065,0.000762939453125,0.004664039611816407,0.0194549560546875,0.05297660827636719,0.11602401733398438,0.30610847473144526,0.6468000411987305
bbox_aspect_ratio,1065,0.04282868525896414,0.14135255923770976,0.4229934924078091,0.9335106382978723,1.7573529411764706,5.2394871794871785,22.85
image_width_pixels,720,788.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0
image_height_pixels,720,788.0,1024.0,1024.0,1024.0,1024.0,1024.0,1024.0
boxes_per_image,720,1.0,1.0,1.0,1.0,2.0,3.0,7.0
