true_label,craze,corrosion,surface_injure,thunderstrike,crack,hide_craze
craze,0.9135802469135802,0.06172839506172839,0.024691358024691357,0.0,0.0,0.0
corrosion,0.03333333333333333,0.7555555555555555,0.05555555555555556,0.0,0.022222222222222223,0.13333333333333333
surface_injure,0.010101010101010102,0.0707070707070707,0.8282828282828283,0.020202020202020204,0.020202020202020204,0.050505050505050504
thunderstrike,0.0,0.0,0.0,1.0,0.0,0.0
crack,0.0,0.0,0.0,0.0,1.0,0.0
hide_craze,0.02040816326530612,0.013605442176870748,0.03401360544217687,0.0,0.006802721088435374,0.9251700680272109
