sample_id,sheet,tile_row,tile_column,xml_named_image,embedded_filename_image,recommended_identity_status,recommendation_confidence,review_required
821,identity_review_012.jpg,2,2,821.jpg,238.jpg,ambiguous,low,True
822,identity_review_012.jpg,3,1,822.jpg,239.jpg,ambiguous,low,True
823,identity_review_012.jpg,3,2,823.jpg,241.jpg,xml_name_correct,high,True
825,identity_review_013.jpg,1,1,825.jpg,244.jpg,xml_name_correct,high,True
826,identity_review_013.jpg,1,2,826.jpg,251.jpg,xml_name_correct,high,True
828,identity_review_013.jpg,2,1,828.jpg,258.jpg,ambiguous,low,True
829,identity_review_013.jpg,2,2,829.jpg,259.jpg,ambiguous,low,True
830,identity_review_013.jpg,3,1,830.jpg,262.jpg,ambiguous,low,True
831,identity_review_013.jpg,3,2,831.jpg,263.jpg,ambiguous,low,True
832,identity_review_014.jpg,1,1,832.jpg,264.jpg,xml_name_correct,high,True
833,identity_review_014.jpg,1,2,833.jpg,265.jpg,ambiguous,low,True
836,identity_review_014.jpg,2,1,836.jpg,278.jpg,ambiguous,low,True
837,identity_review_014.jpg,2,2,837.jpg,28.jpg,xml_name_correct,high,True
838,identity_review_014.jpg,3,1,838.jpg,284.jpg,ambiguous,low,True
840,identity_review_014.jpg,3,2,840.jpg,286.jpg,xml_name_correct,high,True
841,identity_review_015.jpg,1,1,841.jpg,287.jpg,ambiguous,low,True
842,identity_review_015.jpg,1,2,842.jpg,288.jpg,xml_name_correct,high,True
843,identity_review_015.jpg,2,1,843.jpg,290.jpg,ambiguous,low,True
844,identity_review_015.jpg,2,2,844.jpg,297.jpg,ambiguous,low,True
845,identity_review_015.jpg,3,1,845.jpg,298.jpg,xml_name_correct,high,True
846,identity_review_015.jpg,3,2,846.jpg,301.jpg,xml_name_correct,high,True
847,identity_review_016.jpg,1,1,847.jpg,303.jpg,xml_name_correct,high,True
848,identity_review_016.jpg,1,2,848.jpg,304.jpg,xml_name_correct,high,True
849,identity_review_016.jpg,2,1,849.jpg,305.jpg,ambiguous,low,True
850,identity_review_016.jpg,2,2,850.jpg,307.jpg,ambiguous,low,True
852,identity_review_016.jpg,3,1,852.jpg,313.jpg,ambiguous,low,True
853,identity_review_016.jpg,3,2,853.jpg,314.jpg,ambiguous,low,True
854,identity_review_017.jpg,1,1,854.jpg,316.jpg,xml_name_correct,high,True
855,identity_review_017.jpg,1,2,855.jpg,318.jpg,xml_name_correct,high,True
856,identity_review_017.jpg,2,1,856.jpg,319.jpg,ambiguous,low,True
857,identity_review_017.jpg,2,2,857.jpg,32.jpg,ambiguous,low,True
858,identity_review_017.jpg,3,1,858.jpg,322.jpg,xml_name_correct,high,True
859,identity_review_017.jpg,3,2,859.jpg,325.jpg,ambiguous,low,True
861,identity_review_018.jpg,1,1,861.jpg,330.jpg,xml_name_correct,high,True
862,identity_review_018.jpg,1,2,862.jpg,332.jpg,ambiguous,low,True
865,identity_review_018.jpg,2,1,865.jpg,339.jpg,ambiguous,low,True
866,identity_review_018.jpg,2,2,866.jpg,340.jpg,xml_name_correct,high,True
867,identity_review_018.jpg,3,1,867.jpg,342.jpg,ambiguous,low,True
868,identity_review_018.jpg,3,2,868.jpg,343.jpg,xml_name_correct,high,True
869,identity_review_019.jpg,1,1,869.jpg,348.jpg,ambiguous,low,True
870,identity_review_019.jpg,1,2,870.jpg,35.jpg,xml_name_correct,high,True
872,identity_review_019.jpg,2,1,872.jpg,352.jpg,xml_name_correct,high,True
873,identity_review_019.jpg,2,2,873.jpg,353.jpg,xml_name_correct,high,True
876,identity_review_019.jpg,3,1,876.jpg,360.jpg,ambiguous,low,True
877,identity_review_019.jpg,3,2,877.jpg,363.jpg,xml_name_correct,high,True
879,identity_review_020.jpg,1,1,879.jpg,369.jpg,ambiguous,low,True
