true_label,craze,corrosion,surface_injure,thunderstrike,crack,hide_craze
craze,0.6913580246913581,0.037037037037037035,0.08641975308641975,0.012345679012345678,0.012345679012345678,0.16049382716049382
corrosion,0.0,0.7666666666666666,0.06666666666666667,0.0,0.0,0.16666666666666666
surface_injure,0.020202020202020204,0.08080808080808081,0.7474747474747474,0.0,0.010101010101010102,0.14141414141414144
thunderstrike,0.0,0.0,0.14814814814814814,0.8518518518518517,0.0,0.0
crack,0.0,0.0,0.09523809523809523,0.0,0.8333333333333334,0.07142857142857142
hide_craze,0.0,0.0,0.047619047619047616,0.006802721088435374,0.013605442176870748,0.9319727891156463
