true_label,craze,corrosion,surface_injure,thunderstrike,crack,hide_craze
craze,0.35802469135802467,0.04938271604938271,0.345679012345679,0.0,0.037037037037037035,0.2098765432098765
corrosion,0.011111111111111112,0.48888888888888893,0.2111111111111111,0.0,0.08888888888888889,0.19999999999999998
surface_injure,0.0,0.010101010101010102,0.8989898989898989,0.0,0.020202020202020204,0.0707070707070707
thunderstrike,0.07407407407407407,0.0,0.3703703703703704,0.4074074074074074,0.1111111111111111,0.037037037037037035
crack,0.0,0.0,0.047619047619047616,0.0,0.9523809523809524,0.0
hide_craze,0.027210884353741496,0.03401360544217687,0.0748299319727891,0.0,0.027210884353741496,0.8367346938775512
