true_label,craze,corrosion,surface_injure,thunderstrike,crack,hide_craze
craze,0.43209876543209874,0.024691358024691357,0.25925925925925924,0.037037037037037035,0.024691358024691357,0.2222222222222222
corrosion,0.0,0.26666666666666666,0.35555555555555557,0.0,0.022222222222222223,0.35555555555555557
surface_injure,0.0,0.020202020202020204,0.9090909090909092,0.010101010101010102,0.010101010101010102,0.050505050505050504
thunderstrike,0.0,0.0,0.5555555555555556,0.3703703703703704,0.037037037037037035,0.037037037037037035
crack,0.0,0.0,0.023809523809523808,0.0,0.9047619047619048,0.07142857142857142
hide_craze,0.0,0.0,0.09523809523809523,0.0,0.006802721088435374,0.8979591836734694
