true_label,craze,corrosion,surface_injure,thunderstrike,crack,hide_craze
craze,0.6666666666666666,0.037037037037037035,0.18518518518518517,0.0,0.0,0.1111111111111111
corrosion,0.0,0.6333333333333333,0.1,0.0,0.03333333333333333,0.23333333333333334
surface_injure,0.0,0.0,0.8787878787878788,0.030303030303030304,0.0,0.09090909090909091
thunderstrike,0.0,0.0,0.1111111111111111,0.8888888888888888,0.0,0.0
crack,0.0,0.0,0.0,0.0,1.0,0.0
hide_craze,0.02040816326530612,0.0,0.04081632653061224,0.0,0.0,0.9387755102040817
