true_label,craze,corrosion,surface_injure,thunderstrike,crack,hide_craze
craze,0.8148148148148148,0.1111111111111111,0.037037037037037035,0.0,0.0,0.037037037037037035
corrosion,0.06666666666666667,0.7666666666666667,0.1,0.0,0.0,0.06666666666666667
surface_injure,0.030303030303030304,0.09090909090909091,0.8181818181818182,0.0,0.030303030303030304,0.030303030303030304
thunderstrike,0.0,0.0,0.1111111111111111,0.8888888888888888,0.0,0.0
crack,0.0,0.0,0.0,0.0,1.0,0.0
hide_craze,0.02040816326530612,0.061224489795918366,0.02040816326530612,0.0,0.0,0.8979591836734694
