true_label,craze,corrosion,surface_injure,thunderstrike,crack,hide_craze
craze,0.9629629629629629,0.037037037037037035,0.0,0.0,0.0,0.0
corrosion,0.0,0.8,0.03333333333333333,0.0,0.0,0.16666666666666666
surface_injure,0.030303030303030304,0.09090909090909091,0.696969696969697,0.0,0.030303030303030304,0.15151515151515152
thunderstrike,0.0,0.0,0.0,1.0,0.0,0.0
crack,0.0,0.0,0.0,0.0,0.9285714285714286,0.07142857142857142
hide_craze,0.04081632653061224,0.02040816326530612,0.0,0.0,0.02040816326530612,0.9183673469387755
