epoch,train_loss,train_accuracy,train_macro_f1,validation_loss,validation_accuracy,validation_balanced_accuracy,validation_macro_precision,validation_macro_recall,validation_macro_f1,learning_rate,elapsed_seconds,is_best_epoch
1,1.61868319501965,0.36988110964332893,0.34270462554105846,1.5116020098124465,0.4726027397260274,0.4748456370309917,0.4548965848965849,0.4748456370309917,0.43127781361775064,0.0001,33.71659189998172,False
2,1.127373513016392,0.6380449141347424,0.642949853101719,1.1653302091441742,0.6232876712328768,0.6225900974184727,0.6254926395443636,0.6225900974184727,0.5869375482731988,0.0001,32.81921049999073,False
3,0.7486595650015293,0.7965653896961691,0.7977025837571198,0.8895451377515924,0.684931506849315,0.667512566253985,0.7042223381541702,0.667512566253985,0.6434218649408524,0.0001,33.07104169996455,False
4,0.5249119963167208,0.8626155878467635,0.871125001476685,0.7838931900181182,0.678082191780822,0.658490081831043,0.7315277195386867,0.658490081831043,0.6382078458549046,0.0001,33.24356460000854,False
5,0.3537968493200829,0.9088507265521797,0.9161306683474201,0.689844403364887,0.7397260273972602,0.704152657241902,0.7870290506139562,0.704152657241902,0.7023704676432222,0.0001,33.01969420001842,False
6,0.25153216589709726,0.9247027741083224,0.9293641385427573,0.6475352530610071,0.7945205479452054,0.7552933548356889,0.830877828629545,0.7552933548356889,0.7601347946586041,0.0001,32.81247350003105,False
7,0.17523496191520516,0.952443857331572,0.9580131327538525,0.6227252850793812,0.8013698630136986,0.7582712651362536,0.8335835835835836,0.7582712651362536,0.7651301504127997,0.0001,32.735737600014545,False
8,0.13680841786543319,0.9656538969616909,0.9690745121250615,0.5548345168975934,0.8561643835616438,0.8118043072276482,0.8809265711704737,0.8118043072276482,0.8217447840697932,0.0001,33.1958622999955,False
9,0.09394269167904495,0.9854689564068693,0.9868942695666242,0.5610823443491165,0.8424657534246576,0.7966221209928305,0.8696311858076564,0.7966221209928305,0.8077156177156177,0.0001,33.10886679997202,False
10,0.08480224644216552,0.9854689564068693,0.987900314179258,0.5390327948413484,0.8561643835616438,0.8141659806419533,0.8773222234484789,0.8141659806419533,0.8236209352588664,0.0001,33.33149010001216,False
11,0.06333279776998366,0.9854689564068693,0.9872495198615879,0.557261150177211,0.863013698630137,0.812640427628986,0.8894063180827887,0.812640427628986,0.8287091425198843,0.0001,32.975407299934886,False
12,0.050407169517154266,0.9933949801849405,0.9941982211778687,0.5320908076142612,0.863013698630137,0.8177891690477503,0.8777733963405381,0.8177891690477503,0.8276085216135484,0.0001,32.97870229999535,False
13,0.043552034031329095,0.9933949801849405,0.9932863199603169,0.5231753310112104,0.8698630136986302,0.8283718781430451,0.8838351161720727,0.8283718781430451,0.8429069856606088,0.0001,33.060786699992605,False
14,0.04047686871155959,0.9920739762219286,0.9895579174232844,0.5217981550791492,0.8698630136986302,0.8283718781430451,0.8838351161720727,0.8283718781430451,0.8429069856606088,0.0001,33.42548179998994,False
15,0.029317461842452045,0.9960369881109643,0.9964425424052754,0.5026940172665739,0.863013698630137,0.8436272601032325,0.8728070175438596,0.8436272601032325,0.8498688453632502,0.0001,32.99139980005566,False
16,0.020455298180073068,0.9986789960369881,0.9988967940272288,0.4996721185233495,0.8767123287671232,0.8331912387976462,0.8859407186208231,0.8331912387976462,0.8486405619489461,0.0001,34.585481200017966,False
17,0.016675613013488612,0.9986789960369881,0.9991063192572627,0.4847924770557717,0.9041095890410958,0.8595723710140186,0.9093998583415058,0.8595723710140186,0.8734123957236086,0.0001,32.9587765999604,True
18,0.018099918201211422,1.0,1.0,0.5058439210669635,0.8835616438356164,0.8407669963734037,0.8917275692638013,0.8407669963734037,0.8545017462675379,0.0001,32.784799800021574,False
19,0.013859473759384735,1.0,1.0,0.4985882252046507,0.8835616438356164,0.8407669963734037,0.8917275692638013,0.8407669963734037,0.8545017462675379,0.0001,32.72430679993704,False
20,0.014907543829185802,0.9986789960369881,0.9988807917228971,0.4698740574595046,0.8767123287671232,0.8480865689103675,0.8816238180273269,0.8480865689103675,0.8582018463349149,0.0001,32.627881000051275,False
21,0.018854044016716386,0.9960369881109643,0.9953284239247521,0.46354863251725287,0.8835616438356164,0.8379799283689443,0.8955348164906988,0.8379799283689443,0.8546851592064356,0.0001,33.14287010009866,False
22,0.010395387773213803,1.0,1.0,0.45285974708321974,0.8767123287671232,0.8343567399631473,0.8887877893632369,0.8343567399631473,0.8485434694130345,0.0001,32.657251200056635,False
23,0.01110525173350401,0.9986789960369881,0.9991063192572627,0.4571519873730124,0.8904109589041096,0.8443901847792009,0.9018690994916486,0.8443901847792009,0.8614164431105419,0.0001,32.93955329991877,False
