true_label,craze,corrosion,surface_injure,thunderstrike,crack,hide_craze
craze,0.48148148148148145,0.07407407407407407,0.18518518518518517,0.0,0.0,0.25925925925925924
corrosion,0.0,0.4666666666666667,0.23333333333333334,0.0,0.0,0.3
surface_injure,0.030303030303030304,0.0,0.8484848484848485,0.0,0.0,0.12121212121212122
thunderstrike,0.1111111111111111,0.0,0.6666666666666666,0.1111111111111111,0.0,0.1111111111111111
crack,0.2857142857142857,0.0,0.21428571428571427,0.0,0.14285714285714285,0.35714285714285715
hide_craze,0.0,0.0,0.061224489795918366,0.0,0.0,0.9387755102040817
