true_label,craze,corrosion,surface_injure,thunderstrike,crack,hide_craze
craze,0.5185185185185185,0.037037037037037035,0.2962962962962963,0.0,0.037037037037037035,0.1111111111111111
corrosion,0.03333333333333333,0.4,0.2,0.0,0.03333333333333333,0.3333333333333333
surface_injure,0.0,0.0,0.8787878787878788,0.0,0.0,0.12121212121212122
thunderstrike,0.1111111111111111,0.0,0.4444444444444444,0.3333333333333333,0.1111111111111111,0.0
crack,0.0,0.0,0.07142857142857142,0.0,0.9285714285714286,0.0
hide_craze,0.061224489795918366,0.0,0.08163265306122448,0.0,0.0,0.8571428571428571
