true_label,craze,corrosion,surface_injure,thunderstrike,crack,hide_craze
craze,0.8518518518518519,0.07407407407407407,0.0,0.0,0.0,0.07407407407407407
corrosion,0.0,0.7666666666666667,0.03333333333333333,0.0,0.03333333333333333,0.16666666666666666
surface_injure,0.0,0.06060606060606061,0.8787878787878788,0.0,0.0,0.06060606060606061
thunderstrike,0.0,0.0,0.0,1.0,0.0,0.0
crack,0.0,0.0,0.0,0.07142857142857142,0.9285714285714286,0.0
hide_craze,0.02040816326530612,0.0,0.04081632653061224,0.0,0.0,0.9387755102040817
