true_label,craze,corrosion,surface_injure,thunderstrike,crack,hide_craze
craze,0.9629629629629629,0.0,0.037037037037037035,0.0,0.0,0.0
corrosion,0.06666666666666667,0.7333333333333333,0.13333333333333333,0.0,0.0,0.06666666666666667
surface_injure,0.0,0.030303030303030304,0.9090909090909091,0.0,0.0,0.06060606060606061
thunderstrike,0.0,0.0,0.1111111111111111,0.8888888888888888,0.0,0.0
crack,0.0,0.0,0.0,0.0,0.9285714285714286,0.07142857142857142
hide_craze,0.0,0.0,0.0,0.04081632653061224,0.061224489795918366,0.8979591836734694
