method,method_name,designation,test_instances,test_sources,cnn_seed_count,seed_sd_definition,bootstrap_unit,bootstrap_resamples,macro_f1,macro_f1_seed_sd,macro_f1_bootstrap_ci_low,macro_f1_bootstrap_ci_high,accuracy,accuracy_seed_sd,accuracy_bootstrap_ci_low,accuracy_bootstrap_ci_high,balanced_accuracy,balanced_accuracy_seed_sd,balanced_accuracy_bootstrap_ci_low,balanced_accuracy_bootstrap_ci_high,macro_precision,macro_precision_seed_sd,macro_precision_bootstrap_ci_low,macro_precision_bootstrap_ci_high,macro_recall,macro_recall_seed_sd,macro_recall_bootstrap_ci_low,macro_recall_bootstrap_ci_high
hog,HOG + SVM,deterministic,162,109,0,N/A,"test instance, stratified by true class",5000,0.47798778741419395,,0.3808223304699331,0.5667501735631836,0.5308641975308642,,0.4567901234567901,0.6049382716049383,0.4577658672896768,,0.3805340250578346,0.5408201344510868,0.5930411778237864,,0.397438468804175,0.6729004053936328,0.4577658672896768,,0.3805340250578346,0.5408201344510868
lbp,LBP + SVM,deterministic,162,109,0,N/A,"test instance, stratified by true class",5000,0.5924013467096828,,0.496869020913088,0.6764786994227221,0.6111111111111112,,0.5370370370370371,0.6851851851851852,0.5727455965551204,,0.4892583430678669,0.6571768707482991,0.6703856328856329,,0.5758524710985028,0.740821838776667,0.5727455965551204,,0.4892583430678669,0.6571768707482991
resnet18,ResNet-18,three frozen seeds,162,109,3,sample SD (ddof=1),"test instance, stratified by true class",5000,0.8953144214810704,0.014117652330935615,0.8582124960173259,0.9296281171278724,0.8888888888888888,0.021383343303319504,0.8497942386831276,0.9259259259259259,0.9024760072379121,0.01747160939387869,0.8659900211487512,0.9351505130671796,0.894746734188861,0.010705699125779457,0.8613155310494366,0.9328867471844003,0.9024760072379121,0.01747160939387869,0.8659900211487512,0.9351505130671796
mobilenet_v3_small,MobileNetV3-Small,three frozen seeds,162,109,3,sample SD (ddof=1),"test instance, stratified by true class",5000,0.8953207222549548,0.005977178505597876,0.8546560950061028,0.9332584712617962,0.882716049382716,0.006172839506172811,0.8394547325102881,0.9238683127572016,0.9037647831298625,0.004202572440609018,0.8663751078433618,0.9380983016102064,0.8901823794660486,0.007729254918163766,0.8514789308939326,0.9324986452795971,0.9037647831298625,0.004202572440609018,0.8663751078433618,0.9380983016102064
