true_label,craze,corrosion,surface_injure,thunderstrike,crack,hide_craze
craze,0.8888888888888888,0.07407407407407407,0.037037037037037035,0.0,0.0,0.0
corrosion,0.0,0.8,0.03333333333333333,0.0,0.03333333333333333,0.13333333333333333
surface_injure,0.0,0.030303030303030304,0.8484848484848485,0.0,0.030303030303030304,0.09090909090909091
thunderstrike,0.0,0.0,0.0,1.0,0.0,0.0
crack,0.0,0.0,0.0,0.0,1.0,0.0
hide_craze,0.02040816326530612,0.061224489795918366,0.04081632653061224,0.04081632653061224,0.02040816326530612,0.8163265306122449
