true_label,craze,corrosion,surface_injure,thunderstrike,crack,hide_craze
craze,0.8518518518518519,0.037037037037037035,0.037037037037037035,0.0,0.037037037037037035,0.037037037037037035
corrosion,0.16666666666666666,0.2,0.23333333333333334,0.0,0.1,0.3
surface_injure,0.09090909090909091,0.030303030303030304,0.5151515151515151,0.0,0.09090909090909091,0.2727272727272727
thunderstrike,0.2222222222222222,0.0,0.4444444444444444,0.1111111111111111,0.0,0.2222222222222222
crack,0.21428571428571427,0.0,0.14285714285714285,0.0,0.42857142857142855,0.21428571428571427
hide_craze,0.1836734693877551,0.0,0.08163265306122448,0.0,0.04081632653061224,0.6938775510204082
