epoch,train_loss,train_accuracy,train_macro_f1,validation_loss,validation_accuracy,validation_balanced_accuracy,validation_macro_precision,validation_macro_recall,validation_macro_f1,learning_rate,elapsed_seconds,is_best_epoch
1,1.7642989480306233,0.24206349206349206,0.213126940037859,1.7273985082156038,0.3424657534246575,0.33400931956423946,0.3676208933185677,0.33400931956423946,0.3170799677590849,0.0001,13.294250799925067,False
2,1.4568606861053952,0.5,0.48114453852158773,1.6203803199611297,0.4178082191780822,0.4248925919406468,0.4406888480730784,0.4248925919406468,0.3916443898716259,0.0001,12.648249499965459,False
3,1.211677458551195,0.6309523809523809,0.6257430329321897,1.5125883082820946,0.4794520547945205,0.43916816614185034,0.4295151828847481,0.43916816614185034,0.41021186038791674,0.0001,12.94322439993266,False
4,1.025046261530074,0.7142857142857143,0.7093604465274496,1.4101780652999878,0.589041095890411,0.5416165483385164,0.5195558683243412,0.5416165483385164,0.50384123362065,0.0001,13.339219799963757,False
5,0.8467325577660213,0.8174603174603174,0.8238734054457044,1.3004541495074964,0.6027397260273972,0.53941393486588,0.5134026460046385,0.53941393486588,0.5004384504384504,0.0001,12.858520800014958,False
6,0.693710762356955,0.8293650793650794,0.8347998450399811,1.207757788161709,0.5958904109589042,0.5397433156300434,0.5483829097315939,0.5397433156300434,0.4996278088383352,0.0001,12.72524100006558,False
7,0.5652685316782149,0.8888888888888888,0.9026160566284206,1.1312578834899485,0.6164383561643836,0.5762004173045363,0.634615093768905,0.5762004173045363,0.5487682109300259,0.0001,13.204003900056705,False
8,0.4624178565683819,0.9206349206349206,0.9274552906529068,1.0673929322255802,0.636986301369863,0.601965312634649,0.6641515864032842,0.601965312634649,0.5785336409834402,0.0001,12.824974999995902,False
9,0.36850588851504856,0.9325396825396826,0.9419775721736506,1.0085386266447094,0.636986301369863,0.5968165712158847,0.6596264967975494,0.5968165712158847,0.5739147304821768,0.0001,13.001526100095361,False
10,0.2969043779940832,0.9603174603174603,0.963710076608279,0.9576180577278137,0.6712328767123288,0.6158474598119907,0.6692392051160087,0.6158474598119907,0.6086764676954551,0.0001,12.517345100059174,False
11,0.24288118074810694,0.9722222222222222,0.9790785745949981,0.9200776741929251,0.6917808219178082,0.6495174934820244,0.7081031713384655,0.6495174934820244,0.6461081402257872,0.0001,12.739239399903454,False
12,0.20438630192998855,0.9801587301587301,0.9849137251452375,0.8909441861387801,0.7054794520547946,0.6406723679320933,0.7063271254447726,0.6406723679320933,0.641672871453855,0.0001,12.768253299989738,False
13,0.1853964804183869,0.9841269841269841,0.9828434117323006,0.8610228651190457,0.7191780821917808,0.6506751416648443,0.7118488184747583,0.6506751416648443,0.651388883348956,0.0001,12.974699400016107,False
14,0.15715311065552726,0.9801587301587301,0.9795070361737027,0.8158995598962863,0.7328767123287672,0.661874087646399,0.7384327135109362,0.661874087646399,0.665982505067542,0.0001,12.614828600082546,False
15,0.11111308551496929,0.9841269841269841,0.9875026509172851,0.7871616997130929,0.7534246575342466,0.6806794622870137,0.7719133204801265,0.6806794622870137,0.6870995482237806,0.0001,12.615474699996412,False
16,0.09864970024615999,0.9920634920634921,0.9940916248933127,0.780791943203913,0.7602739726027398,0.6843026506928109,0.7741309084020082,0.6843026506928109,0.6908184408184409,0.0001,12.795462399953976,False
17,0.0828949169270576,0.9920634920634921,0.9941304685385518,0.7598295064821635,0.773972602739726,0.7030120115074349,0.7842332539487011,0.7030120115074349,0.7145100022404676,0.0001,12.758179900003597,False
18,0.06272172762287988,1.0,1.0,0.7507037953154682,0.773972602739726,0.7030120115074349,0.7835321817205875,0.7030120115074349,0.714766343346906,0.0001,13.325587300001644,False
19,0.06366152257200271,0.9920634920634921,0.9940916248933127,0.7405239368138248,0.7808219178082192,0.7117839413319963,0.7886215368099426,0.7117839413319963,0.724158026932138,0.0001,12.550495899980888,False
20,0.049496802486597546,1.0,1.0,0.7252182282813607,0.7945205479452054,0.7263041433521983,0.806731718573824,0.7263041433521983,0.7378957086274159,0.0001,12.660539999953471,True
21,0.037797229985396065,1.0,1.0,0.7188440283683881,0.7945205479452054,0.7263041433521983,0.802997002997003,0.7263041433521983,0.7363858363858364,0.0001,12.715860099997371,False
22,0.03225778031443793,1.0,1.0,0.710548020388982,0.7876712328767124,0.7175322135276369,0.7951326451326451,0.7175322135276369,0.7257698819046053,0.0001,12.974528299993835,False
23,0.03605541099040281,1.0,1.0,0.7198225480236419,0.7945205479452054,0.721155401933434,0.7953255203255202,0.721155401933434,0.7289339013476944,0.0001,12.521411399939097,False
24,0.024275683250928683,1.0,1.0,0.7197683020813824,0.7808219178082192,0.6938649535903542,0.7714697371447943,0.6938649535903542,0.6946784696784697,0.0001,13.022520800004713,False
25,0.023885715649359755,1.0,1.0,0.7117783770169297,0.7876712328767124,0.7026368834149155,0.7785916812232602,0.7026368834149155,0.7055822529960462,0.0001,12.778360900003463,False
26,0.018699927225945486,1.0,1.0,0.7008954580516031,0.773972602739726,0.6898163705944026,0.7665161593468716,0.6898163705944026,0.6949562586445097,0.0001,13.05819940008223,False
