true_label,craze,corrosion,surface_injure,thunderstrike,crack,hide_craze
craze,0.6666666666666666,0.0,0.2222222222222222,0.037037037037037035,0.0,0.07407407407407407
corrosion,0.03333333333333333,0.6666666666666666,0.2,0.0,0.03333333333333333,0.06666666666666667
surface_injure,0.030303030303030304,0.0,0.8787878787878788,0.0,0.06060606060606061,0.030303030303030304
thunderstrike,0.0,0.0,0.1111111111111111,0.8888888888888888,0.0,0.0
crack,0.0,0.0,0.0,0.0,1.0,0.0
hide_craze,0.0,0.0,0.08163265306122448,0.0,0.02040816326530612,0.8979591836734694
