epoch,train_loss,train_accuracy,train_macro_f1,validation_loss,validation_accuracy,validation_balanced_accuracy,validation_macro_precision,validation_macro_recall,validation_macro_f1,learning_rate,elapsed_seconds,is_best_epoch
1,1.1210709725107466,0.5198412698412699,0.4993389264504183,1.2383496565361545,0.678082191780822,0.5840647719938338,0.6062579281183932,0.5840647719938338,0.5608969490017878,0.0003,63.81060610001441,False
2,0.2822264324104975,0.9047619047619048,0.8713931107448779,1.096077321326896,0.726027397260274,0.6936476259988846,0.7279309589092198,0.6936476259988846,0.6819809662301922,0.0003,62.292764099896885,False
3,0.10575360846188334,0.9563492063492064,0.9357281500842909,0.9778691889488533,0.7397260273972602,0.6603493866079678,0.673076923076923,0.6603493866079678,0.6514124429549961,0.0003,62.516431999974884,False
4,0.05636471935680935,0.9920634920634921,0.99340956188647,0.937810579391375,0.773972602739726,0.719337806866411,0.7202605912309199,0.719337806866411,0.7127394888765598,0.0003,62.40370460005943,False
5,0.021488888721380914,1.0,1.0,0.8757346917505133,0.773972602739726,0.7169454623688033,0.715444277944278,0.7169454623688033,0.7141827697262481,0.0003,62.63778230000753,True
6,0.015084871135297277,1.0,1.0,0.9029275489180055,0.7671232876712328,0.7048522765055947,0.7124590734935562,0.7048522765055947,0.7052581032412966,0.0003,62.82776649994776,False
7,0.005501161887502623,1.0,1.0,1.0049537469262946,0.7465753424657534,0.6712486968493834,0.6830232146021619,0.6712486968493834,0.6728597669387143,0.0003,62.378718800027855,False
8,0.00584382530198329,1.0,1.0,1.0013056144322434,0.7465753424657534,0.6821914577921443,0.6922331298465599,0.6821914577921443,0.6830108359133127,0.0003,62.58451770001557,False
9,0.003292628482634586,1.0,1.0,0.9595924011648518,0.7534246575342466,0.6909633876167057,0.6990259740259739,0.6909633876167057,0.6911752136752137,0.0003,62.010073799989186,False
10,0.0029567174173684586,1.0,1.0,0.9553358571170127,0.7397260273972602,0.6757812013818879,0.6863263173608001,0.6757812013818879,0.6762518318838718,0.0003,62.054513000068255,False
11,0.001954234057357387,1.0,1.0,0.9491705339248866,0.7397260273972602,0.6757812013818879,0.6875889436234264,0.6757812013818879,0.6772961092439388,0.0003,63.5160611999454,False
