epoch,train_loss,train_accuracy,train_macro_f1,validation_loss,validation_accuracy,validation_balanced_accuracy,validation_macro_precision,validation_macro_recall,validation_macro_f1,learning_rate,elapsed_seconds,is_best_epoch
1,1.2878832169851506,0.52443857331572,0.507746327047469,1.0562401928313792,0.5616438356164384,0.5564770586223675,0.6294799403495056,0.5564770586223675,0.5325944780004269,0.0003,36.88704930001404,False
2,0.4899310851506544,0.8361955085865258,0.840892072016525,0.8905861304230887,0.6712328767123288,0.6178470440484171,0.8401774979780096,0.6178470440484171,0.6220282377497997,0.0003,37.34635000000708,False
3,0.23204272111466887,0.9180977542932629,0.9193648245323058,0.9582098175401557,0.7123287671232876,0.6440896377967316,0.8899808899808899,0.6440896377967316,0.6689318142133752,0.0003,46.61857370007783,False
4,0.11931243003438297,0.9590488771466315,0.9588955128212616,0.6656444105383468,0.821917808219178,0.7713770042145328,0.9081072351421189,0.7713770042145328,0.7876289772918986,0.0003,44.769897300051525,False
5,0.06719505461855561,0.9854689564068693,0.9838030649926887,0.6437177641751015,0.821917808219178,0.7789041251569856,0.8909865242817188,0.7789041251569856,0.7960619416216086,0.0003,54.006515899905935,False
6,0.04029701687051094,0.9907529722589168,0.9915428298686954,0.7329315445194505,0.815068493150685,0.7615957438611901,0.9099673202614379,0.7615957438611901,0.7893133775250857,0.0003,47.478791299974546,False
7,0.024086244113969677,0.9947159841479525,0.9953022845049505,0.582480204431978,0.863013698630137,0.8185315722501075,0.8905876610129977,0.8185315722501075,0.8356203289260812,0.0003,33.548507099971175,False
8,0.01740980862862525,0.9947159841479525,0.9955514242633844,0.5835147981774317,0.8835616438356164,0.8446247370732497,0.9272119133151464,0.8446247370732497,0.8639175865295075,0.0003,31.093671999988146,False
9,0.00928919970536484,1.0,1.0,0.534582892509356,0.8904109589041096,0.8426737894701283,0.9100709054075113,0.8426737894701283,0.8630285952336036,0.0003,31.42021830007434,False
10,0.009479031231576673,1.0,1.0,0.5302893952147602,0.8972602739726028,0.8428646317662336,0.9039518043684711,0.8428646317662336,0.8598257950309791,0.0003,33.247515900060534,False
11,0.0072144739258458625,1.0,1.0,0.6257741459428448,0.8835616438356164,0.8481519116530558,0.9015670036130395,0.8481519116530558,0.8639471639471639,0.0003,32.868784399935976,False
12,0.006239470419236502,0.9973579920739762,0.9977608506524196,0.6048114577384844,0.8972602739726028,0.8526112204601907,0.9105482972799316,0.8526112204601907,0.8724116161616161,0.0003,32.74113690003287,True
13,0.006496723267327271,1.0,1.0,0.6168623256356749,0.8904109589041096,0.8450354628844332,0.9088411588411588,0.8450354628844332,0.867763805859044,0.0003,33.2861842000857,False
14,0.0052917806328307525,1.0,1.0,0.6332706106852178,0.8972602739726028,0.8526112204601907,0.9089285714285714,0.8526112204601907,0.8716113428975748,0.0003,33.341111100045964,False
15,0.005359611252988375,1.0,1.0,0.6000093352304746,0.863013698630137,0.8408401920987734,0.8733655658943015,0.8408401920987734,0.8493017600160457,0.0003,32.96371669997461,False
16,0.004180872258010519,1.0,1.0,0.5852117056715979,0.8698630136986302,0.8381184668370022,0.8803320561941251,0.8381184668370022,0.8500812912577618,0.0003,33.205524799996056,False
17,0.005903086570907222,0.9973579920739762,0.9973222351271133,0.6094828386829324,0.8698630136986302,0.8432978793390693,0.8846466122680957,0.8432978793390693,0.8552188552188552,0.0003,33.29909430001862,False
18,0.007428222123036454,0.9973579920739762,0.997540232170946,0.6443998176757604,0.8493150684931506,0.8181475910308862,0.8642949046174854,0.8181475910308862,0.8310230704967547,0.0003,33.732745700050145,False
