true_label,craze,corrosion,surface_injure,thunderstrike,crack,hide_craze
craze,0.7407407407407407,0.037037037037037035,0.18518518518518517,0.0,0.0,0.037037037037037035
corrosion,0.0,0.7666666666666667,0.13333333333333333,0.0,0.03333333333333333,0.06666666666666667
surface_injure,0.030303030303030304,0.030303030303030304,0.8787878787878788,0.0,0.030303030303030304,0.030303030303030304
thunderstrike,0.0,0.0,0.1111111111111111,0.8888888888888888,0.0,0.0
crack,0.0,0.0,0.07142857142857142,0.0,0.9285714285714286,0.0
hide_craze,0.0,0.0,0.04081632653061224,0.0,0.0,0.9591836734693877
