method,condition_id,corruption_family,severity,class,support,f1_mean,f1_sample_sd,clean_f1_mean,class_f1_drop
hog,jpeg_mild,jpeg,mild,craze,27,0.5925925925925926,,0.5964912280701754,-0.003898635477582846
hog,jpeg_mild,jpeg,mild,corrosion,30,0.39215686274509803,,0.4528301886792453,-0.06067332593414726
hog,jpeg_mild,jpeg,mild,surface_injure,33,0.5263157894736842,,0.5,0.02631578947368418
hog,jpeg_mild,jpeg,mild,thunderstrike,9,0.2,,0.36363636363636365,-0.16363636363636364
hog,jpeg_mild,jpeg,mild,crack,14,0.2857142857142857,,0.34782608695652173,-0.06211180124223603
hog,jpeg_mild,jpeg,mild,hide_craze,49,0.6428571428571429,,0.6071428571428571,0.03571428571428581
hog,jpeg_moderate,jpeg,moderate,craze,27,0.5333333333333333,,0.5964912280701754,-0.06315789473684208
hog,jpeg_moderate,jpeg,moderate,corrosion,30,0.391304347826087,,0.4528301886792453,-0.06152584085315832
hog,jpeg_moderate,jpeg,moderate,surface_injure,33,0.5063291139240507,,0.5,0.006329113924050667
hog,jpeg_moderate,jpeg,moderate,thunderstrike,9,0.2,,0.36363636363636365,-0.16363636363636364
hog,jpeg_moderate,jpeg,moderate,crack,14,0.43478260869565216,,0.34782608695652173,0.08695652173913043
hog,jpeg_moderate,jpeg,moderate,hide_craze,49,0.6611570247933884,,0.6071428571428571,0.05401416765053135
hog,jpeg_severe,jpeg,severe,craze,27,0.3157894736842105,,0.5964912280701754,-0.2807017543859649
hog,jpeg_severe,jpeg,severe,corrosion,30,0.16216216216216217,,0.4528301886792453,-0.2906680265170831
hog,jpeg_severe,jpeg,severe,surface_injure,33,0.4,,0.5,-0.09999999999999998
hog,jpeg_severe,jpeg,severe,thunderstrike,9,0.0,,0.36363636363636365,-0.36363636363636365
hog,jpeg_severe,jpeg,severe,crack,14,0.32,,0.34782608695652173,-0.027826086956521723
hog,jpeg_severe,jpeg,severe,hide_craze,49,0.592,,0.6071428571428571,-0.015142857142857125
lbp,clean,clean,clean,craze,27,0.6779661016949152,,0.6779661016949152,0.0
lbp,clean,clean,clean,corrosion,30,0.5263157894736842,,0.5263157894736842,0.0
lbp,clean,clean,clean,surface_injure,33,0.47058823529411764,,0.47058823529411764,0.0
lbp,clean,clean,clean,thunderstrike,9,0.5,,0.5,0.0
lbp,clean,clean,clean,crack,14,0.6666666666666666,,0.6666666666666666,0.0
lbp,clean,clean,clean,hide_craze,49,0.7128712871287128,,0.7128712871287128,0.0
lbp,gaussian_blur_mild,gaussian_blur,mild,craze,27,0.6885245901639344,,0.6779661016949152,0.01055848846901919
lbp,gaussian_blur_mild,gaussian_blur,mild,corrosion,30,0.5,,0.5263157894736842,-0.02631578947368418
lbp,gaussian_blur_mild,gaussian_blur,mild,surface_injure,33,0.42857142857142855,,0.47058823529411764,-0.04201680672268909
lbp,gaussian_blur_mild,gaussian_blur,mild,thunderstrike,9,0.36363636363636365,,0.5,-0.13636363636363635
lbp,gaussian_blur_mild,gaussian_blur,mild,crack,14,0.6896551724137931,,0.6666666666666666,0.02298850574712652
lbp,gaussian_blur_mild,gaussian_blur,mild,hide_craze,49,0.6597938144329897,,0.7128712871287128,-0.05307747269572316
lbp,gaussian_blur_moderate,gaussian_blur,moderate,craze,27,0.23529411764705882,,0.6779661016949152,-0.4426719840478564
lbp,gaussian_blur_moderate,gaussian_blur,moderate,corrosion,30,0.37209302325581395,,0.5263157894736842,-0.15422276621787023
lbp,gaussian_blur_moderate,gaussian_blur,moderate,surface_injure,33,0.4074074074074074,,0.47058823529411764,-0.06318082788671026
lbp,gaussian_blur_moderate,gaussian_blur,moderate,thunderstrike,9,0.14285714285714285,,0.5,-0.35714285714285715
lbp,gaussian_blur_moderate,gaussian_blur,moderate,crack,14,0.5,,0.6666666666666666,-0.16666666666666663
lbp,gaussian_blur_moderate,gaussian_blur,moderate,hide_craze,49,0.5742574257425742,,0.7128712871287128,-0.13861386138613863
lbp,gaussian_blur_severe,gaussian_blur,severe,craze,27,0.13333333333333333,,0.6779661016949152,-0.5446327683615819
lbp,gaussian_blur_severe,gaussian_blur,severe,corrosion,30,0.0,,0.5263157894736842,-0.5263157894736842
lbp,gaussian_blur_severe,gaussian_blur,severe,surface_injure,33,0.3088235294117647,,0.47058823529411764,-0.16176470588235292
lbp,gaussian_blur_severe,gaussian_blur,severe,thunderstrike,9,0.0,,0.5,-0.5
lbp,gaussian_blur_severe,gaussian_blur,severe,crack,14,0.25,,0.6666666666666666,-0.41666666666666663
lbp,gaussian_blur_severe,gaussian_blur,severe,hide_craze,49,0.5263157894736842,,0.7128712871287128,-0.18655549765502866
lbp,resolution_mild,resolution,mild,craze,27,0.6274509803921569,,0.6779661016949152,-0.05051512130275837
lbp,resolution_mild,resolution,mild,corrosion,30,0.5555555555555556,,0.5263157894736842,0.0292397660818714
lbp,resolution_mild,resolution,mild,surface_injure,33,0.42857142857142855,,0.47058823529411764,-0.04201680672268909
lbp,resolution_mild,resolution,mild,thunderstrike,9,0.2857142857142857,,0.5,-0.2142857142857143
lbp,resolution_mild,resolution,mild,crack,14,0.6428571428571429,,0.6666666666666666,-0.023809523809523725
lbp,resolution_mild,resolution,mild,hide_craze,49,0.6451612903225806,,0.7128712871287128,-0.06770999680613221
lbp,resolution_moderate,resolution,moderate,craze,27,0.25806451612903225,,0.6779661016949152,-0.419901585565883
lbp,resolution_moderate,resolution,moderate,corrosion,30,0.3,,0.5263157894736842,-0.2263157894736842
lbp,resolution_moderate,resolution,moderate,surface_injure,33,0.4247787610619469,,0.47058823529411764,-0.045809474232170744
lbp,resolution_moderate,resolution,moderate,thunderstrike,9,0.16666666666666666,,0.5,-0.33333333333333337
