method,seed,condition_id,corruption_family,severity,parameter,macro_f1,balanced_accuracy,accuracy,macro_precision,macro_recall,absolute_drop,retention,retention_percent,relative_loss,relative_loss_percent,prediction_flip_count,prediction_flip_rate,harmful_flip_count,beneficial_flip_count,correct_to_correct,correct_to_incorrect,incorrect_to_correct,incorrect_to_incorrect
lbp,,brightness_severe,brightness,severe,0.25,0.26204716336295286,0.28754323278132804,0.4012345679012346,0.45486453201970445,0.28754323278132804,-0.33035418334672995,0.44234734579591345,44.23473457959135,0.5576526542040865,55.76526542040865,83,0.5123456790123457,44,10,55,44,10,53
lbp,,jpeg_mild,jpeg,mild,75,0.5122829443323156,0.47943379371950795,0.5370370370370371,0.6353244556369556,0.47943379371950795,-0.08011840237736723,0.8647565492172476,86.47565492172477,0.13524345078275235,13.524345078275235,39,0.24074074074074073,18,6,81,18,6,57
lbp,,jpeg_moderate,jpeg,moderate,50,0.38464767938351846,0.3883449002496622,0.4691358024691358,0.5166305916305917,0.3883449002496622,-0.20775366732616435,0.6493025066872816,64.93025066872816,0.3506974933127184,35.06974933127184,64,0.3950617283950617,35,12,64,35,12,51
lbp,,jpeg_severe,jpeg,severe,25,0.21838624338624343,0.2693362193362194,0.3888888888888889,0.22151147626499737,0.2693362193362194,-0.37401510332343935,0.36864575781132997,36.864575781133,0.63135424218867,63.135424218867,82,0.5061728395061729,48,12,51,48,12,51
resnet18,17,clean,clean,clean,original_phase3_png,0.9110678124826398,0.9193694312741932,0.9012345679012346,0.9065218772694262,0.9193694312741932,0.0,1.0,100.0,0.0,0.0,0,0.0,0,0,146,0,0,16
resnet18,17,gaussian_blur_mild,gaussian_blur,mild,0.75,0.8834107262290622,0.8941730227444514,0.8765432098765432,0.8827987345634405,0.8941730227444514,-0.027657086253577545,0.9696432187871805,96.96432187871805,0.030356781212819484,3.0356781212819484,8,0.04938271604938271,6,2,140,6,2,14
resnet18,17,gaussian_blur_moderate,gaussian_blur,moderate,1.5,0.8028674353902318,0.8090874733731876,0.808641975308642,0.8284226693041283,0.8090874733731876,-0.10820037709240804,0.8812378446368724,88.12378446368724,0.11876215536312762,11.876215536312762,23,0.1419753086419753,19,4,127,19,4,12
resnet18,17,gaussian_blur_severe,gaussian_blur,severe,3.0,0.5975029126501777,0.6119849286515954,0.6419753086419753,0.7010318251594422,0.6119849286515954,-0.31356489983246205,0.6558270465312516,65.58270465312516,0.34417295346874843,34.417295346874845,54,0.3333333333333333,47,5,99,47,5,11
resnet18,17,resolution_mild,resolution,mild,168,0.8616957622333966,0.8655752536704918,0.8580246913580247,0.871741609923102,0.8655752536704918,-0.04937205024924318,0.9458085890284001,94.58085890284002,0.05419141097159985,5.419141097159985,13,0.08024691358024691,10,3,136,10,3,13
resnet18,17,resolution_moderate,resolution,moderate,112,0.8269971224267904,0.8331615474472617,0.8209876543209876,0.8491767721581387,0.8331615474472617,-0.08407069005584944,0.9077229061284048,90.77229061284048,0.09227709387159522,9.227709387159521,21,0.12962962962962962,17,4,129,17,4,12
resnet18,17,resolution_severe,resolution,severe,56,0.7010025323599315,0.7242046313474885,0.7160493827160493,0.7853463787674314,0.7242046313474885,-0.2100652801227083,0.7694295888356707,76.94295888356707,0.2305704111643293,23.05704111643293,39,0.24074074074074073,33,3,113,33,3,13
resnet18,17,brightness_mild,brightness,mild,0.75,0.8820124810023491,0.884863372958611,0.8765432098765432,0.8810255441207823,0.884863372958611,-0.029055331480290714,0.9681084864570997,96.81084864570997,0.03189151354290032,3.189151354290032,10,0.06172839506172839,6,2,140,6,2,14
resnet18,17,brightness_moderate,brightness,moderate,0.5,0.8097157801956448,0.8188162807210427,0.8024691358024691,0.8107677690526528,0.8188162807210427,-0.10135203228699496,0.888754677864414,88.87546778644139,0.11124532213558602,11.124532213558602,24,0.14814814814814814,19,3,127,19,3,13
resnet18,17,brightness_severe,brightness,severe,0.25,0.6066854763798736,0.5954682883254312,0.6419753086419753,0.7758772924462138,0.5954682883254312,-0.3043823361027662,0.6659059491155428,66.59059491155428,0.3340940508844572,33.40940508844572,56,0.345679012345679,47,5,99,47,5,11
resnet18,17,jpeg_mild,jpeg,mild,75,0.9000282057567587,0.9042522732998922,0.8888888888888888,0.9018252246388455,0.9042522732998922,-0.011039606725881113,0.9878827826264672,98.78827826264673,0.012117217373532774,1.2117217373532774,6,0.037037037037037035,4,2,142,4,2,14
resnet18,17,jpeg_moderate,jpeg,moderate,50,0.8641974303799144,0.8605247486199867,0.8518518518518519,0.8803015121970669,0.8605247486199867,-0.04687038210272543,0.9485544528513145,94.85544528513145,0.051445547148685544,5.144554714868555,12,0.07407407407407407,10,2,136,10,2,14
resnet18,17,jpeg_severe,jpeg,severe,25,0.8025027068518759,0.7918436061293205,0.7901234567901234,0.8391095458368377,0.7918436061293205,-0.10856510563076394,0.8808375138016056,88.08375138016056,0.11916248619839442,11.916248619839443,27,0.16666666666666666,21,3,125,21,3,13
resnet18,29,clean,clean,clean,original_phase3_png,0.8838071459576273,0.8844785725738107,0.8641975308641975,0.8921182266009854,0.8844785725738107,0.0,1.0,100.0,0.0,0.0,0,0.0,0,0,140,0,0,22
resnet18,29,gaussian_blur_mild,gaussian_blur,mild,0.75,0.914518177829614,0.9103609794085985,0.9012345679012346,0.9235601160283556,0.9103609794085985,0.03071103187198665,1.0347485670515941,103.47485670515941,-0.034748567051594126,-3.4748567051594126,9,0.05555555555555555,1,7,139,1,7,15
resnet18,29,gaussian_blur_moderate,gaussian_blur,moderate,1.5,0.8386971724513178,0.8277308229689181,0.8333333333333334,0.8834535215824485,0.8277308229689181,-0.04510997350630952,0.9489594831716011,94.8959483171601,0.05104051682839894,5.104051682839894,26,0.16049382716049382,15,10,125,15,10,12
resnet18,29,gaussian_blur_severe,gaussian_blur,severe,3.0,0.6422940975288639,0.6378329783091689,0.6975308641975309,0.8441220238095238,0.6378329783091689,-0.24151304842876342,0.7267355785327149,72.67355785327149,0.27326442146728513,27.326442146728514,56,0.345679012345679,40,13,100,40,13,9
resnet18,29,resolution_mild,resolution,mild,168,0.9012261114043566,0.89184246089008,0.8950617283950617,0.9149521774521774,0.89184246089008,0.017418965446729273,1.0197090117752503,101.97090117752504,-0.019709011775250307,-1.9709011775250307,9,0.05555555555555555,2,7,138,2,7,15
resnet18,29,resolution_moderate,resolution,moderate,112,0.882476601104052,0.874229826610779,0.8703703703703703,0.9029703817839411,0.874229826610779,-0.0013305448535753106,0.9984945303286344,99.84945303286345,0.0015054696713655558,0.15054696713655558,17,0.10493827160493827,8,9,132,8,9,13
resnet18,29,resolution_severe,resolution,severe,56,0.7517429475576569,0.7475491880253785,0.7530864197530864,0.8205143473272276,0.7475491880253785,-0.1320641983999704,0.8505735114227035,85.05735114227035,0.14942648857729646,14.942648857729646,36,0.2222222222222222,26,8,114,26,8,14
resnet18,29,brightness_mild,brightness,mild,0.75,0.8642039628434066,0.8489406537025584,0.8395061728395061,0.8914227003307463,0.8489406537025584,-0.019603183114220712,0.9778196146027082,97.78196146027082,0.022180385397291835,2.2180385397291835,15,0.09259259259259259,8,4,132,8,4,18
resnet18,29,brightness_moderate,brightness,moderate,0.5,0.8097861087132268,0.7823667514143704,0.8209876543209876,0.8755219847703266,0.7823667514143704,-0.07402103724440057,0.9162475234750485,91.62475234750485,0.08375247652495155,8.375247652495155,30,0.18518518518518517,17,10,123,17,10,12
resnet18,29,brightness_severe,brightness,severe,0.25,0.5071778585670704,0.4982294601342221,0.6419753086419753,0.7894268256110362,0.4982294601342221,-0.3766292873905569,0.5738558020115694,57.38558020115694,0.4261441979884306,42.61441979884306,63,0.3888888888888889,49,13,91,49,13,9
resnet18,29,jpeg_mild,jpeg,mild,75,0.8732963731770932,0.8704837490551776,0.8518518518518519,0.8876543909705296,0.8704837490551776,-0.010510772780534139,0.9881073910427083,98.81073910427082,0.011892608957291717,1.1892608957291717,7,0.043209876543209874,4,2,136,4,2,20
resnet18,29,jpeg_moderate,jpeg,moderate,50,0.8667909726893392,0.8616516640326163,0.845679012345679,0.8819955474600284,0.8616516640326163,-0.017016173268288082,0.9807467349114375,98.07467349114376,0.01925326508856251,1.925326508856251,10,0.06172839506172839,6,3,134,6,3,19
resnet18,29,jpeg_severe,jpeg,severe,25,0.8436635593943164,0.8211399711399712,0.8271604938271605,0.8842323721055064,0.8211399711399712,-0.04014358656331096,0.9545787938613979,95.4578793861398,0.04542120613860212,4.542120613860212,19,0.11728395061728394,12,6,128,12,6,16
resnet18,43,clean,clean,clean,original_phase3_png,0.8910683060029441,0.9035800178657322,0.9012345679012346,0.8856000986961715,0.9035800178657322,0.0,1.0,100.0,0.0,0.0,0,0.0,0,0,146,0,0,16
resnet18,43,gaussian_blur_mild,gaussian_blur,mild,0.75,0.8753232592648607,0.8868011177534987,0.8827160493827161,0.8714809474514444,0.8868011177534987,-0.015745046738083412,0.9823301461492769,98.2330146149277,0.01766985385072306,1.766985385072306,7,0.043209876543209874,4,1,142,4,1,15
resnet18,43,gaussian_blur_moderate,gaussian_blur,moderate,1.5,0.8245090958726243,0.8198962413248126,0.8209876543209876,0.8617348927875245,0.8198962413248126,-0.06655921013031973,0.9253040314845405,92.53040314845406,0.07469596851545945,7.469596851545946,24,0.14814814814814814,17,4,129,17,4,12
resnet18,43,gaussian_blur_severe,gaussian_blur,severe,3.0,0.6615661767950924,0.6406559930369454,0.691358024691358,0.8364035087719298,0.6406559930369454,-0.22950212920785162,0.7424415977296657,74.24415977296657,0.25755840227033433,25.75584022703343,51,0.3148148148148148,40,6,106,40,6,10
resnet18,43,resolution_mild,resolution,mild,168,0.866747631453514,0.8661284042236423,0.8765432098765432,0.8772967725173609,0.8661284042236423,-0.0243206745494301,0.9727061613732789,97.27061613732789,0.02729383862672108,2.729383862672108,10,0.06172839506172839,6,2,140,6,2,14
resnet18,43,resolution_moderate,resolution,moderate,112,0.8513584840923079,0.8501431549050597,0.8518518518518519,0.8761487050960736,0.8501431549050597,-0.03970982191063621,0.9554357150365249,95.54357150365249,0.04456428496347509,4.456428496347509,17,0.10493827160493827,11,3,135,11,3,13
resnet18,43,resolution_severe,resolution,severe,56,0.7168636406441284,0.699388442245585,0.7283950617283951,0.8171673415575856,0.699388442245585,-0.17420466535881562,0.8044990892558577,80.44990892558576,0.19550091074414233,19.550091074414233,44,0.2716049382716049,34,6,112,34,6,10
resnet18,43,brightness_mild,brightness,mild,0.75,0.9020632755763839,0.8834249524725714,0.9012345679012346,0.9298742939971011,0.8834249524725714,0.010994969573439817,1.012339087249955,101.23390872499549,-0.012339087249954916,-1.2339087249954916,12,0.07407407407407407,5,5,141,5,5,11
resnet18,43,brightness_moderate,brightness,moderate,0.5,0.8098456086920057,0.7910488100964291,0.808641975308642,0.8535066433915118,0.7910488100964291,-0.08122269731093834,0.9088479561401099,90.884795614011,0.09115204385989006,9.115204385989006,31,0.19135802469135801,21,6,125,21,6,10
resnet18,43,brightness_severe,brightness,severe,0.25,0.46504579103487176,0.43259350878398495,0.5370370370370371,0.7515567765567767,0.43259350878398495,-0.4260225149680723,0.5218969049869172,52.18969049869172,0.4781030950130828,47.81030950130828,76,0.4691358024691358,64,5,82,64,5,11
resnet18,43,jpeg_mild,jpeg,mild,75,0.8823257450123121,0.8873187658901944,0.9012345679012346,0.8812507780890133,0.8873187658901944,-0.008742560990631976,0.990188674727027,99.0188674727027,0.009811325272973015,0.9811325272973015,10,0.06172839506172839,4,4,142,4,4,12
resnet18,43,jpeg_moderate,jpeg,moderate,50,0.8589673123871239,0.8670262717881765,0.8765432098765432,0.8568764568764569,0.8670262717881765,-0.032100993615820195,0.9639747105810381,96.39747105810382,0.03602528941896188,3.602528941896188,13,0.08024691358024691,7,3,139,7,3,13
resnet18,43,jpeg_severe,jpeg,severe,25,0.82115486679364,0.7983451292975102,0.8148148148148148,0.8582059503112135,0.7983451292975102,-0.06991343920930404,0.9215397531947758,92.15397531947758,0.07846024680522423,7.846024680522423,28,0.1728395061728395,19,5,127,19,5,11
mobilenet_v3_small,17,clean,clean,clean,original_phase3_png,0.9017400792264274,0.9082583201630822,0.8888888888888888,0.8985269512981778,0.9082583201630822,0.0,1.0,100.0,0.0,0.0,0,0.0,0,0,144,0,0,18
mobilenet_v3_small,17,gaussian_blur_mild,gaussian_blur,mild,0.75,0.9003167466107634,0.9082583201630822,0.8888888888888888,0.8953733380816713,0.9082583201630822,-0.0014233326156639636,0.9984215710841144,99.84215710841144,0.0015784289158855547,0.15784289158855547,2,0.012345679012345678,1,1,143,1,1,17
mobilenet_v3_small,17,gaussian_blur_moderate,gaussian_blur,moderate,1.5,0.8405645376195717,0.8344087129801414,0.8271604938271605,0.8707086100373344,0.8344087129801414,-0.06117554160685568,0.9321583425022695,93.21583425022695,0.06784165749773052,6.784165749773052,14,0.08641975308641975,12,2,132,12,2,16
mobilenet_v3_small,17,gaussian_blur_severe,gaussian_blur,severe,3.0,0.6656054287797583,0.6527256693923361,0.6975308641975309,0.7903292904686748,0.6527256693923361,-0.23613465044666915,0.7381344625945415,73.81344625945415,0.2618655374054585,26.186553740545847,39,0.24074074074074073,34,3,110,34,3,15
mobilenet_v3_small,17,resolution_mild,resolution,mild,168,0.8907009919569493,0.8959126411507364,0.8765432098765432,0.8897207044404603,0.8959126411507364,-0.01103908726947811,0.9877580163909891,98.77580163909892,0.012241983609010854,1.2241983609010854,4,0.024691358024691357,3,1,141,3,1,17
mobilenet_v3_small,17,resolution_moderate,resolution,moderate,112,0.8689857575291188,0.870211182115944,0.8518518518518519,0.8846757044125465,0.870211182115944,-0.03275432169730863,0.9636765377830301,96.36765377830301,0.036323462216969915,3.6323462216969915,10,0.06172839506172839,8,2,136,8,2,16
mobilenet_v3_small,17,resolution_severe,resolution,severe,56,0.7359987985468631,0.7161284042236423,0.7592592592592593,0.823547215496368,0.7161284042236423,-0.16574128067956428,0.8161983874313892,81.61983874313891,0.18380161256861083,18.380161256861083,33,0.2037037037037037,27,6,117,27,6,12
mobilenet_v3_small,17,brightness_mild,brightness,mild,0.75,0.8808626739999289,0.887396642158547,0.8703703703703703,0.8806409274687578,0.887396642158547,-0.020877405226498502,0.9768476463368374,97.68476463368374,0.023152353663162595,2.3152353663162595,5,0.030864197530864196,3,0,141,3,0,18
