method,seed,condition_id,corruption_family,severity,prediction_flip_count,prediction_flip_rate,harmful_flip_count,beneficial_flip_count,correct_to_correct,correct_to_incorrect,incorrect_to_correct,incorrect_to_incorrect
resnet18,43,brightness_moderate,brightness,moderate,31,0.19135802469135801,21,6,125,21,6,10
resnet18,43,brightness_severe,brightness,severe,76,0.4691358024691358,64,5,82,64,5,11
resnet18,43,jpeg_mild,jpeg,mild,10,0.06172839506172839,4,4,142,4,4,12
resnet18,43,jpeg_moderate,jpeg,moderate,13,0.08024691358024691,7,3,139,7,3,13
resnet18,43,jpeg_severe,jpeg,severe,28,0.1728395061728395,19,5,127,19,5,11
mobilenet_v3_small,17,clean,clean,clean,0,0.0,0,0,144,0,0,18
mobilenet_v3_small,17,gaussian_blur_mild,gaussian_blur,mild,2,0.012345679012345678,1,1,143,1,1,17
mobilenet_v3_small,17,gaussian_blur_moderate,gaussian_blur,moderate,14,0.08641975308641975,12,2,132,12,2,16
mobilenet_v3_small,17,gaussian_blur_severe,gaussian_blur,severe,39,0.24074074074074073,34,3,110,34,3,15
mobilenet_v3_small,17,resolution_mild,resolution,mild,4,0.024691358024691357,3,1,141,3,1,17
mobilenet_v3_small,17,resolution_moderate,resolution,moderate,10,0.06172839506172839,8,2,136,8,2,16
mobilenet_v3_small,17,resolution_severe,resolution,severe,33,0.2037037037037037,27,6,117,27,6,12
mobilenet_v3_small,17,brightness_mild,brightness,mild,5,0.030864197530864196,3,0,141,3,0,18
mobilenet_v3_small,17,brightness_moderate,brightness,moderate,14,0.08641975308641975,9,3,135,9,3,15
mobilenet_v3_small,17,brightness_severe,brightness,severe,43,0.2654320987654321,33,5,111,33,5,13
mobilenet_v3_small,17,jpeg_mild,jpeg,mild,6,0.037037037037037035,5,0,139,5,0,18
mobilenet_v3_small,17,jpeg_moderate,jpeg,moderate,12,0.07407407407407407,8,2,136,8,2,16
mobilenet_v3_small,17,jpeg_severe,jpeg,severe,23,0.1419753086419753,15,4,129,15,4,14
mobilenet_v3_small,29,clean,clean,clean,0,0.0,0,0,142,0,0,20
mobilenet_v3_small,29,gaussian_blur_mild,gaussian_blur,mild,10,0.06172839506172839,7,1,135,7,1,19
mobilenet_v3_small,29,gaussian_blur_moderate,gaussian_blur,moderate,21,0.12962962962962962,14,5,128,14,5,15
mobilenet_v3_small,29,gaussian_blur_severe,gaussian_blur,severe,42,0.25925925925925924,33,5,109,33,5,15
mobilenet_v3_small,29,resolution_mild,resolution,mild,12,0.07407407407407407,8,2,134,8,2,18
mobilenet_v3_small,29,resolution_moderate,resolution,moderate,19,0.11728395061728394,11,4,131,11,4,16
mobilenet_v3_small,29,resolution_severe,resolution,severe,37,0.22839506172839505,26,6,116,26,6,14
mobilenet_v3_small,29,brightness_mild,brightness,mild,8,0.04938271604938271,3,4,139,3,4,16
mobilenet_v3_small,29,brightness_moderate,brightness,moderate,19,0.11728395061728394,12,6,130,12,6,14
mobilenet_v3_small,29,brightness_severe,brightness,severe,57,0.35185185185185186,40,13,102,40,13,7
mobilenet_v3_small,29,jpeg_mild,jpeg,mild,13,0.08024691358024691,6,3,136,6,3,17
mobilenet_v3_small,29,jpeg_moderate,jpeg,moderate,20,0.12345679012345678,12,4,130,12,4,16
mobilenet_v3_small,29,jpeg_severe,jpeg,severe,27,0.16666666666666666,20,3,122,20,3,17
mobilenet_v3_small,43,clean,clean,clean,0,0.0,0,0,143,0,0,19
mobilenet_v3_small,43,gaussian_blur_mild,gaussian_blur,mild,10,0.06172839506172839,4,4,139,4,4,15
mobilenet_v3_small,43,gaussian_blur_moderate,gaussian_blur,moderate,20,0.12345679012345678,10,7,133,10,7,12
mobilenet_v3_small,43,gaussian_blur_severe,gaussian_blur,severe,53,0.3271604938271605,41,7,102,41,7,12
mobilenet_v3_small,43,resolution_mild,resolution,mild,14,0.08641975308641975,6,6,137,6,6,13
mobilenet_v3_small,43,resolution_moderate,resolution,moderate,19,0.11728395061728394,10,7,133,10,7,12
mobilenet_v3_small,43,resolution_severe,resolution,severe,38,0.2345679012345679,27,5,116,27,5,14
mobilenet_v3_small,43,brightness_mild,brightness,mild,10,0.06172839506172839,6,1,137,6,1,18
mobilenet_v3_small,43,brightness_moderate,brightness,moderate,16,0.09876543209876543,10,3,133,10,3,16
mobilenet_v3_small,43,brightness_severe,brightness,severe,53,0.3271604938271605,40,8,103,40,8,11
mobilenet_v3_small,43,jpeg_mild,jpeg,mild,13,0.08024691358024691,9,4,134,9,4,15
mobilenet_v3_small,43,jpeg_moderate,jpeg,moderate,13,0.08024691358024691,10,3,133,10,3,16
mobilenet_v3_small,43,jpeg_severe,jpeg,severe,21,0.12962962962962962,16,4,127,16,4,15
