method,corruption_family,clean_macro_f1,mild_macro_f1,moderate_macro_f1,severe_macro_f1,mean_degraded_macro_f1,severe_retention,severe_retention_percent,mean_degraded_retention,mean_degraded_retention_percent
hog,gaussian_blur,0.47798778741419395,0.45435120435120435,0.4506642474521607,0.3514353569034922,0.4188169362356191,0.7352391968101908,73.52391968101908,0.8762084456201782,87.62084456201784
hog,resolution,0.47798778741419395,0.467346191828921,0.46516418026855466,0.3958850931677018,0.4427984884217258,0.8282326527825131,82.82326527825131,0.9263803387470749,92.6380338747075
hog,brightness,0.47798778741419395,0.4259212836423297,0.39917409917409913,0.31818616409133654,0.3810938489692551,0.6656784387999783,66.56784387999784,0.7972878366430382,79.72878366430382
hog,jpeg,0.47798778741419395,0.43993944556380055,0.4544844047620853,0.2983252726410621,0.39758304098898267,0.6241273950845785,62.41273950845785,0.831784935635735,83.1784935635735
lbp,gaussian_blur,0.5924013467096828,0.5550302282030849,0.3719848528183329,0.20307877536979704,0.37669795213040497,0.34280606635642835,34.28060663564283,0.6358830111083672,63.58830111083672
lbp,resolution,0.5924013467096828,0.5308851139021916,0.36442449681578054,0.17510002500625155,0.35680321190807457,0.2955766829005244,29.55766829005244,0.6022997987594592,60.22997987594592
lbp,brightness,0.5924013467096828,0.5612983267824824,0.44433765759710764,0.26204716336295286,0.4225610492475143,0.44234734579591345,44.23473457959135,0.7133019727158016,71.33019727158018
lbp,jpeg,0.5924013467096828,0.5122829443323156,0.38464767938351846,0.21838624338624343,0.3717722890340258,0.36864575781132997,36.864575781133,0.6275682712386198,62.756827123861974
resnet18,gaussian_blur,0.8953144214810704,0.8910840544411789,0.8220245679047246,0.633787728991378,0.7822987837790937,0.7083347409312107,70.83347409312107,0.8741363904527443,87.41363904527442
resnet18,resolution,0.8953144214810704,0.8765565016970891,0.8536107358743834,0.723203040187239,0.8177900925862372,0.8081673965047439,80.81673965047439,0.9138199003538583,91.38199003538584
resnet18,brightness,0.8953144214810704,0.8827599064740466,0.8097824992002924,0.5263030419939386,0.7396151492227592,0.5872195520380098,58.721955203800974,0.825975111322596,82.59751113225961
resnet18,jpeg,0.8953144214810704,0.8852167746487213,0.8633185718187925,0.822440377679944,0.8569919080491526,0.9189853536192597,91.898535361926,0.9573789786219745,95.73789786219749
mobilenet_v3_small,gaussian_blur,0.8953207222549548,0.8785735818755384,0.8437739906690699,0.6543449631523638,0.792230845232324,0.7307516280849052,73.07516280849052,0.8848353267692052,88.4835326769205
mobilenet_v3_small,resolution,0.8953207222549548,0.8790194970735902,0.8615767100276867,0.733371848857737,0.8246560186530045,0.8190998438467004,81.90998438467004,0.9210793106750829,92.10793106750829
mobilenet_v3_small,brightness,0.8953207222549548,0.878432553300217,0.8581444876205699,0.6590879971600262,0.7985550126936043,0.7359880167697931,73.5988016769793,0.8918642492936328,89.18642492936328
mobilenet_v3_small,jpeg,0.8953207222549548,0.8724861467454175,0.8563406276180737,0.803678227039661,0.8441683338010507,0.8976235126315935,89.76235126315935,0.9428504163286086,94.28504163286088
