true_label,craze,corrosion,surface_injure,thunderstrike,crack,hide_craze
craze,0.7407407407407407,0.14814814814814814,0.1111111111111111,0.0,0.0,0.0
corrosion,0.1,0.5,0.13333333333333333,0.0,0.06666666666666667,0.2
surface_injure,0.12121212121212122,0.15151515151515152,0.48484848484848486,0.0,0.06060606060606061,0.18181818181818182
thunderstrike,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.0,0.1111111111111111
crack,0.0,0.0,0.14285714285714285,0.0,0.6428571428571429,0.21428571428571427
hide_craze,0.061224489795918366,0.04081632653061224,0.16326530612244897,0.0,0.0,0.7346938775510204
