true_label,craze,corrosion,surface_injure,thunderstrike,crack,hide_craze
craze,0.8148148148148148,0.07407407407407407,0.07407407407407407,0.0,0.0,0.037037037037037035
corrosion,0.03333333333333333,0.8,0.0,0.0,0.03333333333333333,0.13333333333333333
surface_injure,0.0,0.0,0.8181818181818182,0.0,0.030303030303030304,0.15151515151515152
thunderstrike,0.0,0.0,0.1111111111111111,0.8888888888888888,0.0,0.0
crack,0.0,0.0,0.0,0.0,1.0,0.0
hide_craze,0.02040816326530612,0.08163265306122448,0.08163265306122448,0.0,0.02040816326530612,0.7959183673469388
