true_label,craze,corrosion,surface_injure,thunderstrike,crack,hide_craze
craze,0.7777777777777778,0.1111111111111111,0.07407407407407407,0.0,0.0,0.037037037037037035
corrosion,0.03333333333333333,0.7,0.03333333333333333,0.0,0.03333333333333333,0.2
surface_injure,0.0,0.030303030303030304,0.8484848484848485,0.030303030303030304,0.030303030303030304,0.06060606060606061
thunderstrike,0.0,0.0,0.0,1.0,0.0,0.0
crack,0.0,0.0,0.0,0.0,1.0,0.0
hide_craze,0.02040816326530612,0.04081632653061224,0.04081632653061224,0.0,0.02040816326530612,0.8775510204081632
